"id","numberOfProtesters","levelOfDisruption.BusinessDamaging","levelOfDisruption.PublicEveryday","levelOfDisruption.GovernmentOrAuthority","levelOfDisruption.CultureOrSport","levelOfDisruption.PrivateJets","issueBundling","nature.Blockade","nature.Attached","nature.AlteratVandal","nature.Interrupting","portrayal","numberOfProtesters_imputed","acceptance","perceived_disruption","ordinary","ordinary_imputed","words.general_disruption","words.protester_messaging","words.negative_comments"
"Telegraph_2024-09-26_Just-Stop-Oil-soup.html",2,1,1,1,3,1,1,0,0,1,0,5,FALSE,2,2.8,2.6,FALSE,4.86753445045558,3.76120011569356,2.89037175789616
"Telegraph_2024-09-27_Just-Stop-Oil-protesters.html",2,1,1,1,3.5,1,3.5,0,0,1,0,3,FALSE,1.35714285714286,2.85714285714286,2.42857142857143,FALSE,5.53733426701854,4.78749174278205,3.91202300542815
"Telegraph_2024-09-29_Activists-throw-soup-on.html",4.5,2.5,3,2,4,1,1,0,1,1,0,3,FALSE,1.78571428571429,3.5,3,FALSE,5.60947179518496,3.76120011569356,0
"Telegraph_2025-03-20_Greenpeace-hit-with-660m.html",6,4,1,1,1,1,1,1,0,0,0,3,FALSE,2.78571428571429,3.28571428571429,3.01496336996337,TRUE,5.65248918026865,2.63905732961526,4.0943445622221
"The-Guardian_2023-12-02_Deep-sea-miners.html",4,2,1,1,1,1,1,1,0,0,0,3,FALSE,3.23076923076923,2.69230769230769,3.15384615384615,FALSE,5.4971682252932,3.71357206670431,0
"The-Guardian_2023-12-04_Police-make-630.html",7,1,3,1,1,1,1,1,0,0,0,4,FALSE,2.64285714285714,3.35714285714286,3.21428571428571,FALSE,5.62401750618734,4.00733318523247,3.85014760171006
"The-Guardian_2023-12-15_Just-Stop-Oil.html",5,1,2.5,1,1,1,1,1,0,0,0,4,FALSE,2.61538461538462,3.30769230769231,3.23076923076923,FALSE,5.20948615284142,4.66343909411207,4.34380542185368
"The-Guardian_2024-01-26_Geldof-and-Colman.html",1,1,3,1,1,1,1,0,1,0,0,4,FALSE,2.93333333333333,2.6,2.93333333333333,FALSE,4.48863636973214,3.76120011569356,0
"The-Guardian_2024-04-06_Greta-Thunberg-detained.html",7.5,1,4,1,1,1,1,1,0,0,0,3,FALSE,2.26666666666667,3.33333333333333,3.06666666666667,FALSE,5.70711026474888,4.17438726989564,0
"The-Guardian_2024-05-08_First-trial-of.html",5,1,2.5,1,1,1,1,1,0,0,0,3,FALSE,2.6,2.93333333333333,3.73333333333333,FALSE,5.02388052084628,4.33073334028633,3.36729582998647
"The-Guardian_2024-05-15_UK-climate-activists.html",3,1,3,1,1,1,1,1,0,0,0,3,FALSE,2.21428571428571,4.14285714285714,2.57142857142857,FALSE,5.5683445037611,4.89783979995091,4.21950770517611
"The-Guardian_2024-07-11_Just-Stop-Oil.html",4.5,1,5,1,1,1,1,0,1,0,0,3,FALSE,2.07142857142857,4.42857142857143,3.07142857142857,FALSE,5.62040086571715,3.3322045101752,0
"The-Guardian_2024-09-21_Retired-priest-speaks.html",2.5,1,1,1,2.5,1,1,0,0,1,0,3.5,FALSE,2.78571428571429,2.42857142857143,3,FALSE,4.76217393479776,3.87120101090789,4.35670882668959
"The-Guardian_2024-11-26_How-the-battle-of.html",7,1,1,4,1,1,1,1,1,0,0,3,FALSE,3.21428571428571,3.78571428571429,3.71428571428571,FALSE,5.98141421125448,3.40119738166216,0
"The-Guardian_2025-01-08_Charges-against-34-people.html",5,3,1,1,1,1,1,1,1,1,0,3,FALSE,2.78571428571429,2.71428571428571,2.5,FALSE,5.39362754635236,4.07753744390572,0
"The-Guardian_2025-08-20_Police-investigate-sabotage-claims.html",2.5,3,1,1,1,1,2.5,0,0,1,0,3,FALSE,1.78571428571429,3.5,2.92857142857143,FALSE,5.50533153593236,4.81218435537242,4.21950770517611
"The-Guardian_None_Nearly-175-arrested.html",7,4,1,1,1,1,1,1,0,1,0,3,FALSE,2.21428571428571,3.35714285714286,2.85714285714286,FALSE,5.65948221575962,3.71357206670431,0
"The-Times_2023-11-27_Climate-activists-glue-50.html",5,4,2,1,1,1,1,1,0,1,0,3,FALSE,2.13333333333333,3.46666666666667,3.06666666666667,FALSE,5.52942908751142,5.2040066870768,4.04305126783455
"The-Times_2024-02-16_As-the-air-goes.html",2,1,4,1,1,1,1,0,0,1,0,3,FALSE,1.42857142857143,4,2.42857142857143,FALSE,6.22653666928747,2.484906649788,3.93182563272433
"The-Times_2024-05-18_Arrested-in-our-80s.html",2,1,2,1,2,1,1,0,0,1,0,3.5,FALSE,2.66666666666667,2.06666666666667,3.73333333333333,FALSE,4.11087386417331,4.17438726989564,0
"The-Times_2024-06-02_Attacking-art-should-be.html",1.5,1,1.5,1,3,1,1.5,0,0,1,0,3,FALSE,2.28571428571429,2.85714285714286,3.14285714285714,FALSE,5.77765232322266,3.76120011569356,5.25749537202778
"The-Times_2024-07-19_Police-fear-Just-Stop.html",5,1,5,1,1,1,1,0,1,0,0,3,FALSE,1.8,4.46666666666667,3.6,FALSE,4.99043258677874,0,0
"The-Times_2024-07-27_Mum-got-four-years.html",5,1,5,1,1,1,1,0,1,0,0,3.5,FALSE,1.30769230769231,4.84615384615385,3,FALSE,5.82894561761021,4.49980967033027,2.89037175789616
