id	title_total_words	title_general_disruption_words	title_protester_messaging_words	title_positive_comments_words	title_negative_comments_words	subtitle_total_words	subtitle_general_disruption_words	subtitle_protester_messaging_words	subtitle_positive_comments_words	subtitle_negative_comments_words	main_content_total_words	main_content_total_pictures	main_content_general_disruption_words	main_content_general_disruption_pictures	main_content_protester_messaging_words	main_content_protester_messaging_pictures	main_content_positive_comments_words	main_content_positive_comments_pictures	main_content_negative_comments_words	main_content_negative_comments_pictures	all_content_total_words	all_content_total_pictures	all_content_total_words_and_pictures	all_content_general_disruption_words	all_content_general_disruption_pictures	all_content_general_disruption_words_and_pictures	all_content_protester_messaging_words	all_content_protester_messaging_pictures	all_content_protester_messaging_words_and_pictures	all_content_positive_comments_words	all_content_positive_comments_pictures	all_content_positive_comments_words_and_pictures	all_content_negative_comments_words	all_content_negative_comments_pictures	all_content_negative_comments_words_and_pictures	tagging_error
Telegraph_2024-09-29_Activists-throw-soup-on	13	13	0	0	0	17	9	0	0	0	315	1	200	1	42	0	0	0	0	0	345	1	395	222	1	272	42	0	42	0	0	0	0	0	0	no
Telegraph_2025-03-20_Greenpeace-hit-with-660m	10	10	0	0	0	16	0	0	0	10	285	2	174	2	13	0	0	0	49	0	311	2	411	184	2	284	13	0	13	0	0	0	59	0	59	no
The-Guardian_2023-12-02_Deep-sea-miners	12	12	0	0	0	0	0	0	0	0	332	1	181	1	40	0	0	0	0	0	344	1	394	193	1	243	40	0	40	0	0	0	0	0	0	no
The-Guardian_2023-12-04_Police-make-630	11	11	0	0	0	0	0	0	0	0	326	1	215	1	54	0	0	0	46	0	337	1	387	226	1	276	54	0	54	0	0	0	46	0	46	no
The-Guardian_2023-12-15_Just-Stop-Oil	14	14	0	0	0	0	0	0	0	0	378	1	118	1	105	0	0	0	76	0	392	1	442	132	1	182	105	0	105	0	0	0	76	0	76	no
The-Guardian_2024-01-26_Geldof-and-Colman	11	0	0	11	0	0	0	0	0	0	314	1	88	0	42	0	164	0	0	0	325	1	375	88	0	88	42	0	42	175	0	175	0	0	0	no
The-Guardian_2024-04-06_Greta-Thunberg-detained	8	8	0	0	0	0	0	0	0	0	306	1	242	1	64	0	0	0	0	0	314	1	364	250	1	300	64	0	64	0	0	0	0	0	0	no
The-Guardian_2024-05-08_First-trial-of	12	0	0	0	0	17	7	0	0	0	297	1	94	1	75	0	0	0	28	0	326	1	376	101	1	151	75	0	75	0	0	0	28	0	28	no
The-Guardian_2024-05-15_UK-climate-activists	11	11	0	0	0	0	0	0	0	0	388	1	200	1	133	0	0	0	67	0	399	1	449	211	1	261	133	0	133	0	0	0	67	0	67	no
The-Guardian_2024-07-11_Just-Stop-Oil	12	12	0	0	0	0	0	0	0	0	322	1	213	1	27	0	0	0	0	0	334	1	384	225	1	275	27	0	27	0	0	0	0	0	0	no
